SEDOL,HOLDINGS,TICKER,weight,MARKET VALUE,SHARES
6889106,Taiwan Semiconductor Manufacturing Co. Ltd.,2330,5.40%,"$40,435,079.15 ","2,784,121"
BMMV2K8,Tencent Holdings Ltd.,700,3.30%,"$24,734,252.24 ","583,350"
BK6YZP5,Alibaba Group Holding Ltd.,9988,2.93%,"$21,932,264.30 ","1,998,764"
6099626,Reliance Industries Ltd.,RELIANCE,2.41%,"$18,054,631.81 ","588,087"
6771720,Samsung Electronics Co. Ltd.,5930,1.73%,"$12,945,434.28 ","294,930"
6709099,Bank Rakyat Indonesia Persero Tbk PT,BBRI,1.50%,"$11,259,840.03 ","35,514,369"
2616580,Petroleo Brasileiro SA,PBR,1.33%,"$9,950,784.90 ","934,346"
6465874,Galaxy Entertainment Group Ltd.,27,1.28%,"$9,596,184.06 ","1,459,572"
2857334,Vale SA,VALE,1.18%,"$8,853,944.77 ","521,741"
B01FLR7,Ping An Insurance Group Co. of China Ltd.,2318,1.13%,"$8,494,858.14 ","1,293,027"
6438564,Hon Hai Precision Industry Co. Ltd.,2317,1.09%,"$8,192,813.75 ","2,527,685"
BGJW376,Meituan,3690,1.02%,"$7,636,939.15 ","344,692"
B1DYPZ5,China Merchants Bank Co. Ltd.,3968,0.98%,"$7,339,493.31 ","1,326,289"
2421041,Grupo Financiero Banorte SAB de CV,GFNORTEO,0.96%,"$7,170,336.34 ","998,676"
7320154,OTP Bank Nyrt,OTP,0.86%,"$6,468,626.32 ","238,070"
2232878,Credicorp Ltd.,BAP,0.83%,"$6,238,053.78 ","45,983"
BG7ZWY7,Ambev SA,ABEV3,0.77%,"$5,798,876.95 ","2,121,666"
408284,Standard Chartered plc,STAN,0.77%,"$5,750,145.77 ","770,950"
B1YBRG0,Cia Energetica de Minas Gerais,CMIG4,0.72%,"$5,390,550.89 ","2,605,565"
B01RQM3,Pacific Basin Shipping Ltd.,2343,0.72%,"$5,377,736.23 ","15,963,140"
BK1K3N2,Trip.com Group Ltd.,TCOM,0.71%,"$5,349,475.20 ","155,508"
6171900,Housing Development Finance Corp. Ltd.,HDFC,0.71%,"$5,340,977.40 ","168,003"
6372480,MediaTek Inc.,2454,0.71%,"$5,308,583.43 ","262,555"
