ConsCode,Ticker,Price,IndexShares,Weight%
C00570,2727,2.03,2778257900,0.01158
C01109,RHBBANK,5.67,1617038906,0.033592
C01139,ROTH,10.74,140709184,0.005537
C01329,GFI,265.98,877429848,0.206177
C01342,IMP,159.96,812256122,0.114784
C01353,NED,221.35,418992101,0.081934
C01356,PIK,42.81,346148771,0.013091
C01362,AMS,945.36,56109302,0.046861
C01364,SOL,246.13,557201631,0.121159
C01371,TBS,201,157250181,0.027923
C01375,ANG,486.2,418041650,0.179561
C02826,ALFAA,11.39,3626503191,0.036497
C02828,WALMEX*,70.33,5149367636,0.319991
C02829,KIMBERA,37.47,831300410,0.027522
C02839,BIMBOA,90.4,2212127797,0.176694
C02841,GCARSOA1,88.31,450459754,0.035149
C02846,TLEVICPO,18.84,2399664954,0.039946
C02862,PETR4,24,5601613337,0.428363
C02863,VALE3,76.75,3882787393,0.949532
C02866,BBDC4,13.03,5200319179,0.215905
C02868,ELET6,35.96,276976321,0.031736
C02871,ITUB4,24.41,4821430320,0.375
C02873,ITSA4,8.12,5214577213,0.134916
C02875,CMIG4,11.69,1264188523,0.047088
C03463,RENT3,52.24,785804232,0.130799
C03519,1088,24.4,3377482000,0.169206
C03631,HUMANSFT,3970,90486507,0.018869
C03646,3328,4.96,7276214686,0.0741
C03728,1919,8.61,3249104430,0.057438
C03823,3311,9.01,1768470417,0.032716
C03870,YES,15.4,19955835896,0.06048
C03906,ENBR3,22.26,259399677,0.018398
C04155,BIMAS,154.7,440141526,0.056988
C04441,EXCL,1960,4380294327,0.009279
C04574,939,5.15,93350242249,0.987089
C04760,CSAN3,14.72,1195239755,0.05606
C04897,2313,78.9,755550977,0.122398
C04992,425,21.95,702637763,0.031666
C05040,489,3.6,2855382168,0.021106
C05335,3383,1.66,1677446953,0.005717
C05541,3406,381.5,83999567,0.016918
C06251,GAPB,350.09,343064816,0.10612
C06269,2689,6.01,1572363194,0.019403
C06283,VAKBN,8.9,1037268032,0.007727
C06293,IQCD,13.19,1575420000,0.092009
C06294,QGTS,3.652,2714729164,0.043898
C06295,QIBK,18.5,1797954959,0.147279
C06296,DHBK,1.624,2361005621,0.016977
C06297,CBQK,5.798,3367719845,0.086458
C06298,SABIC,92.6,900000000,0.358052
C06299,STC,41.15,1797434100,0.317772
C06300,RJHI,75.9,1960000000,0.639132
C06302,SECO,23.32,781653000,0.078313
C06303,RIBL,31.55,1470000000,0.199255
C06304,BSFR,38.75,587804000,0.097858
C06305,EEC,42,377300000,0.068081
C06306,ALBI,41,490000000,0.086312
C06307,SAFCO,127.6,233257150,0.127873
C06308,SAVOLA,29.05,261650690,0.032656
C06309,SIBC,16.86,490000000,0.035493
C06310,SIIG,24.96,369852000,0.039661
C06311,NIC,13,327767860,0.018306
C06313,BJAZ,18.86,401800000,0.032557
C06316,YACCO,32.8,99225000,0.013983
C06317,ALMARAI,56.8,252054000,0.061508
C06319,DIB,5.27,2890857751,0.066859
C06320,DIC,2.38,2083488820,0.021762
C06373,TOTS3,27.24,446003772,0.038711
C06458,MMFS,252.15,591818763,0.029368
C06509,3323,6.34,4556612900,0.059315
C06601,8046,274,209939167,0.030368
C06603,SOIL,3765,21717613,0.016092
C06621,EQTL3,27.68,933719479,0.082351
C06637,ARNB,27.05,665700000,0.077364
C06643,BRES,2.615,2140185300,0.024781
C06645,YANSAB,43.1,275625000,0.051037
C06647,SOCCO,51.1,68600000,0.01506
C06649,QACCO,68.7,44100000,0.013016
C06651,YNCCO,34.9,77175000,0.011572
C06652,SACCO,56.7,74970000,0.018263
C06653,EAND,22.98,3478720000,0.350828
C06654,FAB,13.02,4416442800,0.252353
C06656,ADCB,8.3,2913332665,0.106119
C06659,DANA,0.827,3427732953,0.01244
C06660,ALDAR,4.82,3544473425,0.074976
C06661,ADIB,10.42,1452800000,0.066435
C06666,QNBK,16.2,4439951214,0.318481
C06667,QIIK,9.907,1170685526,0.051354
C06669,QNNS,8.698,556720728,0.021441
C06671,QEWS,16.69,455290000,0.033646
C06676,ARMX,3.2,727328278,0.010214
C06689,QFLS,17.4,585616643,0.045118
C06870,SUNTV,422.6,98521155,0.008194
C06911,SELEC,31.96,109171800,0.00292
C07183,3988,3.03,76104633747,0.473464
C07446,ETEL,24,341414320,0.004274
C07529,CCOLA,225.8,65195231,0.012321
C07540,272,0.93,3453853473,0.006595
C07741,YLLG,0.895,658091535,0.007136
C100470,ADSEZ,641.6,809171111,0.102171
C100476,MEGACPO,45.26,299002145,0.011957
C100605,JSMR,3380,2177361360,0.007954
C100618,3800,1.95,20690343961,0.082839
C100697,TENERGY,19.5,51924761,0.017826
C101104,3808,12.08,662638401,0.016435
C101186,TKFEN,35.8,178694241,0.005354
C101556,B3SA3,10.7,6067576838,0.206865
C101706,390,5.19,4042996000,0.043083
C101916,2049,251,285519291,0.037833
C101932,220,7.98,1145228217,0.018764
C102056,285,24.5,771947862,0.038832
C102313,ENEV3,10.69,1209731630,0.041205
C102970,ALARKAN,15.8,529200000,0.035923
C103438,MRFG3,6.3,307977704,0.006182
C103908,PETROR,11.1,417749999,0.019922
C104285,ERES,0.926,1554363061,0.006373
C104547,RECL,118.75,1247230337,0.029148
C104749,ZAINKSA,14.24,440377296,0.026942
C105320,AXIATA,3.02,4496634049,0.049755
C105344,HART,2.05,1686910243,0.01267
C105503,HYPE3,37.84,400807357,0.048325
C106390,TTKOM,18.11,525000000,0.007958
C106753,BUPA,176.2,71625000,0.05422
C106965,BJFIN,1303.95,381862644,0.097992
C106969,BJAUT,4033.6,67909766,0.053907
C107087,BSDE,990,8936194071,0.009562
C107088,1368,9.33,1131041341,0.021667
C107131,ALINMA,31.55,980000000,0.132837
C107505,1812,2.43,480282303,0.002396
C108465,AOTHAIM,130.2,44100000,0.024668
C108467,ADRO,3020,12282835337,0.040091
C109348,MAADEN,65.8,807760028,0.22835
C110129,1766,4.65,4025533270,0.038433
C111279,RNI,375,135441728,0.044871
C113531,PI,3028.1,80779059,0.048138
C113642,3529,1845,69274835,0.067474
C115776,VOD,126.13,595362669,0.06634
C115993,AMRT,2700,19062569690,0.055627
C116560,4743,272.5,302399227,0.043502
C116717,CIEL3,4.68,1148263670,0.017123
C117021,2009,1.01,2338764870,0.00485
C117051,VFQS,1.683,1648530000,0.012285
C117150,ADANI,192.2,965326374,0.036513
C117353,NHPC,40.25,2282541198,0.01808
C117492,BLA,27.5,516197202,0.006754
C117599,MOUWASAT,234.2,47500000,0.047794
C117755,1099,25,1252293192,0.064281
