No.,Ticker,Holdings,Shares,Market value,Weight(calculated)
152,DNA,Ginkgo Bioworks Holdings Inc.,"18,631,948","$31,487,992 ",0.058200504
2,AAPL,Apple Inc.,"17,678,921","$2,297,022,206 ",0.055223539
3,AMZN,Amazon.com Inc.,"17,097,093","$1,436,155,812 ",0.053406087
14,SHOP,Shopify Inc. Class A,"11,076,451","$384,463,614 ",0.034599443
4,GOOG,Alphabet Inc. Class C,"10,925,122","$969,386,075 ",0.034126738
11,TTD,Trade Desk Inc. Class A,"10,790,071","$483,718,883 ",0.03370488
26,UBER,Uber Technologies Inc.,"10,451,441","$258,464,136 ",0.032647103
1,MSFT,Microsoft Corp.,"9,906,855","$2,375,861,966 ",0.030945983
16,SLB,Schlumberger Ltd.,"6,146,087","$328,569,811 ",0.019198495
8,TSLA,Tesla Inc.,"5,664,568","$697,761,486 ",0.017694377
119,SNAP,Snap Inc.,"5,293,965","$47,380,987 ",0.016536727
99,COUR,Coursera Inc.,"5,183,577","$61,321,716 ",0.016191908
6,NVDA,NVIDIA Corp.,"4,933,590","$720,994,843 ",0.015411025
13,GOOGL,Alphabet Inc. Class A,"4,748,835","$418,989,712 ",0.014833907
54,RBLX,ROBLOX Corp.,"4,634,703","$131,903,647 ",0.014477394
175,RDFN,Redfin Corp.,"4,448,817","$18,862,984 ",0.013896743
66,CHGG,Chegg Inc.,"4,322,721","$109,235,160 ",0.013502858
48,CHWY,Chewy Inc.,"4,065,368","$150,743,845 ",0.012698966
35,BSX,Boston Scientific Corp.,"3,936,512","$182,142,410 ",0.012296459
70,DNLI,Denali Therapeutics Inc.,"3,762,284","$104,629,118 ",0.011752224
65,ZI,ZoomInfo Technologies Inc. Class A,"3,629,915","$109,296,741 ",0.011338744
157,RXRX,Recursion Pharmaceuticals Inc. Class A,"3,628,847","$27,978,410 ",0.011335408
83,PINS,Pinterest Inc. Class A,"3,582,178","$86,975,282 ",0.011189628
23,CSGP,CoStar Group Inc.,"3,452,594","$266,816,464 ",0.010784847
46,NET,Cloudflare Inc. Class A,"3,364,558","$152,111,667 ",0.01050985
150,AFRM,Affirm Holdings Inc.,"3,316,182","$32,067,480 ",0.010358738
89,HCP,HashiCorp Inc. Class A,"3,009,303","$82,274,344 ",0.009400142
10,MRNA,Moderna Inc.,"2,879,230","$517,167,293 ",0.008993833
9,V,Visa Inc. Class A,"2,737,873","$568,820,494 ",0.008552277
169,SG,Sweetgreen Inc. Class A,"2,544,318","$21,804,805 ",0.007947671
5,MA,Mastercard Inc. Class A,"2,519,978","$876,271,950 ",0.00787164
198,SANA,Sana Biotechnology Inc.,"2,456,509","$9,703,211 ",0.007673382
91,W,Wayfair Inc.,"2,292,785","$75,409,699 ",0.007161959
36,SCHW,Charles Schwab Corp.,"2,175,961","$181,170,513 ",0.006797036
61,TRU,TransUnion,"2,137,220","$121,287,235 ",0.006676021
21,CRM,salesforce.com Inc.,"2,130,386","$282,467,880 ",0.006654674
156,LMND,Lemonade Inc.,"2,122,348","$29,033,721 ",0.006629566
97,EADSY,Airbus SE ADR,"2,099,497","$62,271,081 ",0.006558186
39,ABNB,Airbnb Inc. Class A,"2,032,789","$173,803,460 ",0.006349811
75,TWLO,Twilio Inc. Class A,"2,018,013","$98,801,916 ",0.006303655
76,DASH,DoorDash Inc. Class A,"2,005,787","$97,922,521 ",0.006265465
22,SNOW,Snowflake Inc. Class A,"1,967,163","$282,366,577 ",0.006144815
51,NVCR,Novocure Ltd.,"1,912,645","$140,292,511 ",0.005974518
49,TJX,TJX Cos. Inc.,"1,843,754","$146,762,818 ",0.005759323
195,SWN,Southwestern Energy Co.,"1,719,520","$10,059,192 ",0.005371254
32,NKE,NIKE Inc. Class B,"1,671,600","$195,593,916 ",0.005221567
98,MRVL,Marvell Technology Inc.,"1,669,046","$61,821,464 ",0.005213589
69,SQ,Square Inc.,"1,665,605","$104,666,618 ",0.00520284
95,ROKU,Roku Inc.,"1,644,001","$66,910,841 ",0.005135356
153,RIVN,Rivian Automotive Inc. Class A,"1,612,154","$29,711,998 ",0.005035876
137,DBX,Dropbox Inc. Class A,"1,571,223","$35,163,971 ",0.00490802
45,GPN,Global Payments Inc.,"1,567,156","$155,649,934 ",0.004895316
67,MCHP,Microchip Technology Inc.,"1,520,807","$106,836,692 ",0.004750536
12,NFLX,Netflix Inc.,"1,444,772","$426,034,367 ",0.004513026
110,TXG,10X Genomics Inc. Class A,"1,428,504","$52,054,686 ",0.004462209
72,DDOG,Datadog Inc. Class A,"1,402,223","$103,063,391 ",0.004380116
78,ZM,Zoom Video Communications Inc. Class A,"1,385,209","$93,834,058 ",0.004326969
41,TEAM,Atlassian Corp. Ltd. Class A,"1,345,082","$173,085,152 ",0.004201625
7,UNH,UnitedHealth Group Inc.,"1,335,822","$708,226,108 ",0.004172699
86,CDAY,Ceridian HCM Holding Inc.,"1,320,377","$84,702,185 ",0.004124454
43,NVO,Novo Nordisk A/S ADR,"1,269,620","$171,830,371 ",0.003965904
84,FIS,Fidelity National Information Services Inc.,"1,257,446","$85,317,711 ",0.003927877
27,AMT,American Tower Corp.,"1,198,679","$253,952,133 ",0.003744306
228,CVNA,Carvana Co. Class A,"1,163,576","$5,515,350 ",0.003634655
40,A,Agilent Technologies Inc.,"1,160,657","$173,692,320 ",0.003625537
19,DHR,Danaher Corp.,"1,136,966","$301,773,516 ",0.003551534
62,ABT,Abbott Laboratories,"1,104,619","$121,276,120 ",0.003450492
155,NCNO,nCino Inc.,"1,104,425","$29,200,997 ",0.003449886
55,FRC,First Republic Bank/CA,"1,079,338","$131,560,509 ",0.003371522
29,ALNY,Alnylam Pharmaceuticals Inc.,"1,039,111","$246,944,729 ",0.003245865
42,WDAY,Workday Inc. Class A,"1,029,505","$172,267,072 ",0.003215859
31,ILMN,Illumina Inc.,"1,008,952","$204,010,094 ",0.003151657
28,EL,Estee Lauder Cos. Inc. Class A,"1,002,939","$248,839,195 ",0.003132875
15,LLY,Eli Lilly & Co.,"973,413","$356,113,412 ",0.003040644
183,HLF,Herbalife Nutrition Ltd.,"971,348","$14,453,658 ",0.003034194
52,ZTS,Zoetis Inc.,"941,324","$137,951,032 ",0.002940408
100,AMD,Advanced Micro Devices Inc.,"935,938","$60,620,704 ",0.002923584
20,ADBE,Adobe Inc.,"876,290","$294,897,874 ",0.002737262
125,FTNT,Fortinet Inc.,"874,144","$42,736,900 ",0.002730558
56,MAR,Marriott International Inc./MD Class A,"872,921","$129,969,208 ",0.002726738
57,AXP,American Express Co.,"864,674","$127,755,584 ",0.002700977
104,OKTA,Okta Inc.,"854,277","$58,372,747 ",0.0026685
102,DUOL,Duolingo Inc.,"844,034","$60,036,138 ",0.002636504
