symbol,weight
BRK-A,9.330
META,7.779
MSFT,5.848
AMZN,5.143
UNH,4.931
AAPL,4.300
NVDA,2.468
GOOGL,2.228
REGN,2.097
GOOG,1.928
LLY,1.913
APH,1.768
V,1.503
NFLX,1.400
XOM,1.365
COST,1.196
BAC,1.051
VRTX,1.010
QCOM,0.972
ACN,0.836
JPM,0.834
UPS,0.819
COP,0.802
MRK,0.739
MS,0.722
CRM,0.705
NOC,0.644
CVX,0.627
NUE,0.600
HD,0.587
LMT,0.574
AMD,0.548
PGR,0.546
GE,0.510
CB,0.496
AIG,0.486
FCX,0.481
KO,0.478
PEP,0.466
SPET+GPP,0.458
ABNB,0.444
HES,0.437
ON,0.412
DHR,0.406
ADBE,0.398
TRV,0.393
DE,0.385
VLO,0.363
OXY,0.360
CDNS,0.353
ORLY,0.353
SPET+NPP,0.352
EOG,0.347
STLD,0.338
ULTA,0.334
DKS,0.330
ADI,0.309
WFC,0.305
TMUS,0.302
SPET+PP,0.294
ELV,0.291
LNG,0.288
ISRG,0.263
WSM,0.256
MTD,0.255
ANET,0.254
JNJ,0.252
PCAR,0.250
RPRX,0.240
FWONK,0.238
EL,0.236
CI,0.223
ASO,0.221
GWW,0.219
BMY,0.211
FANH-PP,0.207
NKE,0.204
AZO,0.204
PXD,0.200
TMO,0.185
ATVI,0.171
DVN,0.169
FANG,0.169
HLT,0.168
AJG,0.160
MA,0.151
ETN,0.150
CEG,0.148
UTHR,0.148
JBHT,0.142
ODFL,0.141
LEN,0.139
SYNA,0.138
ALB,0.134
GEHC,0.125
HIG,0.124
LSCC,0.124
PSX,0.123
CF,0.118
AXP,0.117
FTNT,0.117
CNTTC-PP,0.116
HUBB,0.115
CDW,0.113
GM,0.112
CTVA,0.109
CAT,0.106
TJX,0.105
PCG,0.101
MMC,0.101
MCD,0.100
SPET+HPP,0.099
EPG-PP,0.098
SCHW,0.096
HCA,0.095
BSX,0.091
ALNY,0.091
MPC,0.091
APD,0.089
GILD,0.088
IE,0.086
ABC,0.086
AVGO,0.082
MOH,0.080
CAH,0.078
FSLR,0.078
CLH,0.078
MDLZ,0.078
ZENP+DPP,0.076
CLF,0.075
WLK,0.074
MELI,0.067
STZ,0.064
NET,0.064
TDG,0.063
CVTHC-PP,0.063
WAT,0.063
EYE,0.062
BMBL,0.061
CTAS,0.059
TANM-PP,0.057
DECK,0.051
HOG,0.051
CASY,0.049
EQC,0.048
LW,0.047
DIS,0.047
YOU,0.044
FTV,0.043
URI,0.042
TEAM,0.042
PH,0.041
DT,0.038
CMG,0.037
JBL,0.037
MPWR,0.037
RED+FPP,0.036
TT,0.032
HAL,0.032
ZLIN,0.032
IT,0.032
ZIPL+EPP,0.031
SNPS,0.031
PANW,0.030
MSI,0.030
UBER,0.030
ALGM,0.030
LULU,0.030
SYK,0.030
RESP+DPP,0.030
MRVL,0.030
C,0.029
TSLA,0.029
DXCM,0.029
EWBC,0.029
MRNA,0.028
NURO+CPP,0.027
OLPX,0.026
INTU,0.026
AON,0.025
ORCL,0.022
LYRA+EPP,0.022
DICE,0.022
BETA+BPP,0.022
DPLX+DPP,0.022
DOCS,0.021
XHLD1-PP,0.021
MDB,0.020
GS,0.020
SLB,0.019
BA,0.019
NUVB,0.018
DLTR,0.017
ITCI,0.017
TOST,0.017
MSCI,0.015
OPCH,0.015
NVT,0.014
SMAT+EPP,0.014
NTLA,0.014
KDP,0.013
ABBV,0.013
PFGC,0.013
FICO,0.013
H,0.013
ZIPL-PP,0.012
ME,0.012
ELB+CPP,0.011
HUBS,0.011
ZTS,0.011
SPEC+PP,0.011
RADP-TMP,0.011
STRPE-PP,0.011
ACGL,0.010
INSP,0.010
SHW,0.010
LVS,0.010
SNOW,0.010
ZM,0.010
ACR+BPP,0.010
GBN+HPP,0.010
CMCSA,0.010
GPCR,0.010
MAR,0.010
TPR,0.010
AGL,0.010
NXPI,0.010
RAD+DPP,0.010
CZR,0.009
CAR+DPP,0.009
PAYC,0.009
IQV,0.009
TWLO,0.009
ZENP-PP,0.009
RESP+EPP,0.009
CR,0.009
NBIX,0.009
NUVL,0.008
GBN+GPP,0.008
DELL,0.008
HON,0.008
WSC,0.007
PSTG,0.007
RIVN,0.007
ASAC-PP,0.007
RED+E-PP,0.007
ASA+CPP,0.006
DSCR+IPP,0.006
BLK,0.005
RAD+CPP,0.005
NURO+DPP,0.005
ZENP+EPP,0.005
AZPN,0.005
BWR+C1PP,0.005
STRP+HPP,0.004
FIGS,0.004
EW,0.004
W,0.003
DHI,0.003
AYI,0.002
AUR,0.002
ENPH,0.002
PIII,0.002
IOT,0.002
RAD+APP,0.001
PHM,0.001
VTYX,0.001
LYRA+FPP,0.001
CAR+EPP,0.001
DUOL,0.001
BHVN,0.000
HEA+BPP,0.000
WMT,0.000
EE,0.000
COIN,0.000
DASH,0.000
ITCA-PP,0.000
ITCA-WT,0.000
FNV-TO,0.544
RY-TO,0.492
IVN-TO,0.360
CNQ-TO,0.315
CP-TO,0.211
ONON,0.193
TD-TO,0.192
*UMG,0.179
*LOTMP,0.158
BTO-TO,0.156
IFC-TO,0.125
*TYMT,0.123
*STARLGD,0.116
FFH-TO,0.107
IVNA-TO,0.106
ARGX,0.084
*DGE,0.071
*ABIV,0.068
HIEX+APP,0.064
*TOTO,0.057
ATD-TO,0.057
CHKP,0.056
ABX-TO,0.052
*BIRG,0.049
*RHLD,0.048
GLPG,0.047
AZN,0.046
WPM-TO,0.045
*BSCH,0.045
NG-TO,0.042
*GLNR,0.042
CIF+EPP,0.038
CVE-TO,0.037
*DEROO,0.035
*STLA,0.034
RYAAY,0.033
*RPD-TMP,0.026
*STMNS,0.026
DOL-TO,0.024
CIF+FPP,0.023
*NOVB,0.021
TOU-TO,0.020
*ADYN,0.018
*DOCS,0.015
*AIBIR,0.015
*EVOGA,0.015
SHOP-TO,0.014
TNS+C1PP,0.012
GFL-TO,0.010
SU-TO,0.010
SBB-TO,0.010
*OREAF-E,0.010
*PAPP,0.010
*INDTR,0.009
QSR-TO,0.008
VRNA,0.008
BIR-TO,0.006
*NAMB,0.004
*CLQ,0.003
BN-TO,0.003
BAM-TO,0.002
*GNMB,0.002
DAVA,0.001
*CNQ,0.001
BNRE-TO,0.000
CPNG,0.158
BY+E1PP,0.138
PBR,0.119
TSM,0.103
*HYDM,0.093
LEGN,0.056
NU,0.047
*RELID,0.036
*ZAILAB,0.026
*LSTBD,0.010
HDB,0.009
PKX,0.006
*VAMO3,0.000
%TNSPP,0.011
%ITC21P,0.000
CF-TAXMM,2.518
