symbol,weight
0700.hk,8.72
0388.hk,3.42
1211.hk,1.83
9618.hk,2.25
0316.hk,0.16
9999.hk,0.79
3690.hk,5.06
9888.hk,0.66
0011.hk,0.7000000000000001
2020.hk,1.22
0016.hk,1.3
2688.hk,0.66
9988.hk,8.92
2382.hk,0.54
0669.hk,1.06
1299.hk,7.82
2313.hk,0.53
0941.hk,3.3000000000000003
0291.hk,0.86
2331.hk,1.13
0002.hk,0.9400000000000001
0005.hk,7.5
0027.hk,0.97
2318.hk,2.63
0823.hk,1.06
0001.hk,1.09
2269.hk,1.39
1113.hk,0.7799999999999999
1997.hk,0.63
9633.hk,0.73
1038.hk,0.22
1209.hk,0.22999999999999998
0006.hk,0.49
0066.hk,0.59
3968.hk,1.25
1109.hk,0.9400000000000001
0881.hk,0.22
1044.hk,0.21
2319.hk,0.86
1928.hk,0.67
0012.hk,0.33
2388.hk,0.74
1088.hk,0.67
6690.hk,0.48
1876.hk,0.4
0960.hk,0.33
0981.hk,0.76
0017.hk,0.24
6862.hk,0.33
0688.hk,0.62
1929.hk,0.25
3692.hk,0.13999999999999999
0101.hk,0.22
6098.hk,0.22999999999999998
0868.hk,0.22
0322.hk,0.21
2628.hk,0.7799999999999999
0883.hk,1.55
1810.hk,1.72
0175.hk,0.48
0267.hk,0.54
0968.hk,0.36
0992.hk,0.5
1093.hk,0.5599999999999999
1378.hk,0.16999999999999998
0003.hk,0.62
0241.hk,0.26
0762.hk,0.3
0939.hk,4.54
0857.hk,0.8200000000000001
0386.hk,0.98
0288.hk,0.27999999999999997
1177.hk,0.38
1398.hk,2.5
3988.hk,1.96
2007.hk,0.21
