symbol,weight
0700.hk,8
0388.hk,3.0700000000000003
1211.hk,1.34
9618.hk,2.91
0316.hk,0.13
9999.hk,0.58
3690.hk,6.15
9888.hk,0.5
0011.hk,0.75
2020.hk,1.05
0016.hk,1.17
2688.hk,0.66
9988.hk,7.12
2382.hk,0.5
0669.hk,1.03
1299.hk,7.8
2313.hk,0.5499999999999999
0941.hk,2.41
0291.hk,0.66
2331.hk,1.21
0002.hk,0.8699999999999999
0005.hk,7.19
0027.hk,0.8500000000000001
2318.hk,2.48
0823.hk,0.9400000000000001
0001.hk,0.95
2269.hk,1.6400000000000001
1113.hk,0.72
1997.hk,0.5700000000000001
9633.hk,0.67
1038.hk,0.19
1209.hk,0.21
0006.hk,0.44999999999999996
0066.hk,0.58
3968.hk,1.29
1109.hk,0.86
0881.hk,0.19
1044.hk,0.22
2319.hk,0.84
1928.hk,0.5599999999999999
0012.hk,0.3
2388.hk,0.74
1088.hk,0.58
6690.hk,0.49
1876.hk,0.37
0960.hk,0.35000000000000003
0981.hk,0.53
0017.hk,0.22999999999999998
6862.hk,0.3
0688.hk,0.6
1929.hk,0.24
3692.hk,0.13
0101.hk,0.21
6098.hk,0.3
0868.hk,0.22999999999999998
0322.hk,0.2
2628.hk,0.75
0883.hk,1.35
1810.hk,1.4500000000000002
0175.hk,0.52
0267.hk,0.44999999999999996
0968.hk,0.32
0992.hk,0.35000000000000003
1093.hk,0.5599999999999999
1378.hk,0.13
0003.hk,0.63
0241.hk,0.27
0762.hk,0.22
0939.hk,4.01
0857.hk,0.5700000000000001
0386.hk,0.73
0288.hk,0.24
1177.hk,0.38999999999999996
1398.hk,2.25
3988.hk,1.71
2007.hk,0.16999999999999998
