symbol,weight
0700.hk,8.43
9961.hk,1.55
9626.hk,2.27
9618.hk,6.660000000000001
9898.hk,0.04
9999.hk,5.01
3690.hk,7.580000000000001
9888.hk,4.18
9988.hk,8.62
2015.hk,6.01
2382.hk,3.4000000000000004
9866.hk,0.19
6618.hk,3.3099999999999996
1024.hk,7.489999999999999
0772.hk,0.9199999999999999
9868.hk,2.52
1347.hk,1.27
3888.hk,1.8499999999999999
6060.hk,1.11
0285.hk,1
6690.hk,3.0300000000000002
0981.hk,4.84
1833.hk,0.52
2018.hk,0.72
9698.hk,0.33999999999999997
0268.hk,1.9300000000000002
1810.hk,7.539999999999999
0992.hk,3.2
0241.hk,1.6199999999999999
0020.hk,2.88
