symbol,weight
MSFT,7.329
NVDA,3.204
UNH,3.180
V,2.537
MA,2.295
TMO,2.215
NEE,2.194
LLY,2.171
DHR,2.117
COST,2.069
ZLIN,2.045
HUM,2.011
ACN,1.904
PM,1.899
ZTS,1.896
SPGI,1.849
PLD,1.832
INTU,1.758
MMC,1.699
MCO,1.650
AJG,1.641
PANW,1.641
CI,1.630
ADP,1.599
DG,1.596
CDNS,1.579
ADI,1.573
CTAS,1.560
SHW,1.529
SNPS,1.528
AAPL,1.524
LRCX,1.524
CDW,1.523
KLAC,1.521
RJF,1.494
MTD,1.467
EFX,1.423
VEEV,1.416
HEI-A,1.414
VRSK,1.414
ABNB,1.383
CTVA,1.370
APH,1.368
IT,1.364
CPRT,1.343
ON,1.341
HLT,1.340
FISV,1.303
TDG,1.302
PAYX,1.288
AZO,1.275
YUM,1.228
UBER,1.185
ENPH,1.148
WCN,1.145
ADSK,0.589
ICE,0.543
ETN,0.308
ADBE,0.022
BIRD1-RT,0.000
BIRD2-RT,0.000
BIRD3-RT,0.000
CF-TAXMM,0.804
