symbol,weight
AAPL,7.136544
MSFT,6.3255
AMZN,2.651518
NVDA,1.938229
GOOGL,1.881812
GOOG,1.647738
BRK-B,1.640823
TSLA,1.450418
META,1.401674
UNH,1.396286
XOM,1.380656
JNJ,1.258278
JPM,1.089587
V,1.070149
PG,1.046495
MA,0.888751
CVX,0.86912
HD,0.85719
LLY,0.846419
ABBV,0.832565
MRK,0.829951
AVGO,0.758246
PEP,0.73993
KO,0.712735
PFE,0.678859
TMO,0.657573
COST,0.628424
WMT,0.616259
CSCO,0.613786
MCD,0.603802
BAC,0.566248
CRM,0.561118
ABT,0.533154
DIS,0.532197
ACN,0.516969
LIN,0.511768
ADBE,0.507755
VZ,0.483199
DHR,0.471725
TXN,0.470275
CMCSA,0.46203
NEE,0.457307
PM,0.447378
NFLX,0.440391
BMY,0.438302
NKE,0.436406
AMD,0.434483
ORCL,0.429592
WFC,0.420855
RTX,0.419267
T,0.408171
UPS,0.401072
QCOM,0.400463
INTC,0.395553
AMGN,0.394188
COP,0.378977
HON,0.370838
INTU,0.366381
UNP,0.354192
SBUX,0.350598
LOW,0.349924
BA,0.346383
IBM,0.343836
ELV,0.336546
PLD,0.329668
SPGI,0.327006
LMT,0.324563
MS,0.32054
GS,0.31815
CAT,0.317215
MDT,0.31127
GILD,0.302963
GE,0.296614
BKNG,0.291642
DE,0.2913
CVS,0.290162
BLK,0.286953
SYK,0.282652
MDLZ,0.282338
AMAT,0.281189
AMT,0.28
NOW,0.279897
ADI,0.27646
AXP,0.276195
TJX,0.263632
ISRG,0.262318
ADP,0.26095
REGN,0.259625
C,0.258413
TMUS,0.258237
PGR,0.250725
PYPL,0.247144
MMC,0.244417
VRTX,0.240988
CB,0.237631
MO,0.231995
CI,0.230904
ZTS,0.229067
SO,0.229025
DUK,0.223468
TGT,0.221717
SCHW,0.21936
BDX,0.210565
FISV,0.208767
BSX,0.208691
SLB,0.20536
CME,0.204196
EOG,0.203976
NOC,0.198142
LRCX,0.194178
AON,0.193841
EQIX,0.191491
HUM,0.189379
MU,0.186213
ITW,0.185183
CL,0.1842
CSX,0.183624
APD,0.181979
ETN,0.181088
WM,0.177855
ATVI,0.176869
ICE,0.176292
MPC,0.170244
CCI,0.169334
FCX,0.167819
SNPS,0.166967
HCA,0.166916
CDNS,0.166696
MMM,0.163331
EL,0.162884
FDX,0.157063
ORLY,0.156828
SHW,0.153917
MRNA,0.152108
KLAC,0.151191
EW,0.150968
GIS,0.150138
GD,0.149331
VLO,0.148727
MCK,0.147685
USB,0.145146
PXD,0.14404
PSA,0.14317
PNC,0.143025
SRE,0.142069
AEP,0.141852
F,0.14117
D,0.140986
GM,0.14058
PSX,0.139656
EMR,0.138698
DG,0.138412
AZO,0.138397
MSI,0.138114
MCO,0.13658
NSC,0.136348
CMG,0.135674
ROP,0.134446
APH,0.134428
KMB,0.134246
OXY,0.133354
NXPI,0.128232
MAR,0.127643
DXCM,0.126387
TFC,0.126374
ADM,0.12585
MCHP,0.125651
EXC,0.124698
CTVA,0.124478
ADSK,0.124179
MSCI,0.124156
FTNT,0.123591
AJG,0.121994
ECL,0.120621
BIIB,0.120516
NEM,0.120395
A,0.118876
PH,0.116806
MNST,0.116467
TRV,0.115344
ANET,0.115289
TEL,0.11496
TT,0.114356
O,0.114172
SYY,0.114137
IDXX,0.114106
HES,0.11392
CTAS,0.113717
XEL,0.113462
MET,0.113258
DOW,0.111902
JCI,0.111772
HSY,0.111295
AIG,0.110418
TDG,0.109472
LHX,0.109213
HLT,0.109197
YUM,0.108248
ROST,0.107654
CHTR,0.107512
NUE,0.107297
AFL,0.106275
STZ,0.106049
CNC,0.105961
IQV,0.105836
COF,0.105659
ILMN,0.10524
WMB,0.104733
SPG,0.104586
PCAR,0.10395
ED,0.102186
CARR,0.102015
KMI,0.101794
PAYX,0.101757
DVN,0.100442
WELL,0.098367
WBD,0.097305
MTD,0.097303
EA,0.095865
FIS,0.095695
BK,0.095617
OTIS,0.095533
ON,0.094617
RMD,0.09455
VICI,0.094533
PPG,0.094077
DD,0.092972
CPRT,0.092736
AMP,0.092043
KR,0.091976
PEG,0.091921
DLTR,0.091222
CMI,0.090727
ROK,0.090666
CTSH,0.090619
WEC,0.090521
AME,0.090515
KHC,0.090375
PRU,0.089246
ALL,0.088904
KDP,0.087773
DHI,0.087086
VRSK,0.086664
HAL,0.086422
ODFL,0.085861
FAST,0.085637
OKE,0.085423
AWK,0.085408
GEHC,0.084672
GWW,0.084229
BKR,0.083054
ES,0.082032
