symbol,weight
DNA,5.8200504
AAPL,5.522353900000001
AMZN,5.3406087
SHOP,3.4599443
GOOG,3.4126738
TTD,3.370488
UBER,3.2647102999999995
MSFT,3.0945983
SLB,1.9198495
TSLA,1.7694377000000001
SNAP,1.6536727
COUR,1.6191908000000002
NVDA,1.5411025
GOOGL,1.4833907
RBLX,1.4477394
RDFN,1.3896743
CHGG,1.3502858
CHWY,1.2698966
BSX,1.2296459
DNLI,1.1752224
ZI,1.1338744
RXRX,1.1335408
PINS,1.1189628
CSGP,1.0784847
NET,1.0509849999999998
AFRM,1.0358737999999998
HCP,0.9400142
MRNA,0.8993833
V,0.8552277
SG,0.7947671
MA,0.787164
SANA,0.7673382000000001
W,0.7161959
SCHW,0.6797036000000001
TRU,0.6676021
CRM,0.6654674
LMND,0.6629566
EADSY,0.6558185999999999
ABNB,0.6349811000000001
TWLO,0.6303655
DASH,0.6265465
SNOW,0.6144815
NVCR,0.5974518
TJX,0.5759323000000001
SWN,0.5371254
NKE,0.5221567
MRVL,0.5213589000000001
SQ,0.520284
ROKU,0.5135356
RIVN,0.5035876
DBX,0.490802
GPN,0.4895316
MCHP,0.47505359999999996
NFLX,0.4513026
TXG,0.4462209
DDOG,0.4380116
ZM,0.4326969
TEAM,0.42016249999999994
UNH,0.4172699
CDAY,0.41244539999999996
NVO,0.3965904
FIS,0.39278769999999996
AMT,0.3744306
CVNA,0.3634655
A,0.3625537
DHR,0.3551534
ABT,0.3450492
NCNO,0.34498860000000003
FRC,0.3371522
ALNY,0.3245865
WDAY,0.32158590000000004
ILMN,0.3151657
EL,0.3132875
LLY,0.3040644
HLF,0.3034194
ZTS,0.2940408
AMD,0.2923584
ADBE,0.2737262
FTNT,0.2730558
MAR,0.27267379999999997
AXP,0.2700977
OKTA,0.26685
DUOL,0.2636504
ALSN,0.2621944
HLT,0.259013
FLT,0.257081
LULU,0.2520812
BX,0.2456754
ETSY,0.2373598
WSO,0.2370359
COMM,0.23540060000000002
MO,0.23152129999999999
NTNX,0.2273793
COST,0.21985249999999998
HD,0.2146809
ISRG,0.21316400000000002
MRK,0.2082795
PGR,0.2050961
QCOM,0.2025884
SPOT,0.19966340000000002
EFX,0.19943539999999998
TPR,0.1992467
HRB,0.1971623
STZ,0.19715760000000002
VRTX,0.1930037
MMC,0.1906159
BYD,0.1888685
TMUS,0.1877071
PEN,0.1863046
P911,0.1836598
CC,0.1823072
CRWD,0.17013040000000001
TDC,0.1681241
JBL,0.1672573
ACGL,0.165875
MDB,0.1639415
TOL,0.16313899999999998
ATUS,0.1597541
SYK,0.1581929
KO,0.1580289
EXEL,0.14867529999999998
ABBV,0.1486188
ADSK,0.1471856
SPGI,0.14610199999999998
HPQ,0.14531080000000002
AVTR,0.1447179
DAL,0.1385733
SYF,0.1370296
PLTK,0.1356989
ON,0.1354662
MC,0.1324902
META,0.1316568
MKTX,0.1295918
AMAT,0.1294534
EOG,0.12118899999999999
GD,0.12025280000000001
DAR,0.11618049999999999
PG,0.1148673
PPC,0.11350690000000001
NOC,0.1112591
SPG,0.10805229999999999
LOW,0.1076912
RHI,0.10665169999999999
PODD,0.1058329
ACN,0.1053678
RRC,0.09989319999999999
LPX,0.0984823
MELI,0.0983058
CDNS,0.0942606
UNP,0.0912512
PEP,0.0877068
TRIP,0.08688520000000001
MANH,0.0817271
STLD,0.0806485
ORCL,0.0800575
DFS,0.0772571
ELV,0.0748884
BBWI,0.0744579
NOW,0.0739591
CAT,0.07339309999999999
IQV,0.0702887
ALGN,0.0702466
GDDY,0.0691879
TDOC,0.0684361
INTU,0.0665466
WM,0.06562570000000001
CL,0.0650631
CSX,0.0636546
EXR,0.0624492
MOS,0.062085299999999996
TNL,0.0589832
IEX,0.0580114
OLN,0.05255080000000001
WEN,0.0520773
SPLK,0.0515672
HCA,0.0464887
SNPS,0.0464796
AGCO,0.0456094
NFG,0.042857700000000006
AR,0.0420143
LPLA,0.0402888
VEEV,0.0401423
LSCC,0.0399836
IT,0.0398218
BRKR,0.0397546
CI,0.0378779
LRCX,0.0376489
DVN,0.0369199
MPWR,0.0352499
URI,0.0338249
EW,0.0324255
RE,0.0312207
ASML,0.0306881
DOCS,0.029741300000000002
MCK,0.0295208
ENPH,0.027666200000000002
CF,0.027641299999999997
LW,0.027463500000000002
KLAC,0.0272961
DXCM,0.0264127
PDCE,0.0262253
BJ,0.025451500000000002
CHTR,0.0253725
TXN,0.025341600000000002
ADYEN,0.025286299999999998
TMO,0.0249855
AVGO,0.023400800000000003
ULTA,0.0232974
ARW,0.023109699999999997
LMT,0.0228673
EQIX,0.022230399999999997
GWW,0.019518399999999998
HSY,0.019148599999999998
ADP,0.0189212
RSG,0.018765
JBHT,0.0183358
LYV,0.017552
LH,0.017407699999999998
EXPE,0.0166955
EXPD,0.0162273
ORLY,0.0159009
LSTR,0.0158196
REGN,0.014476800000000001
MCD,0.0144668
DE,0.0140463
MTD,0.0137777
BRO,0.0135212
UPS,0.0128537
WAT,0.012284199999999999
TSCO,0.0122161
CRL,0.012029
AON,0.0118947
NXST,0.0118529
WST,0.0114196
INCY,0.0106202
SBUX,0.00990836
CPT,0.0097856
IONS,0.00930205
EA,0.00926956
EPAM,0.009248010000000001
MSGS,0.00924364
APPN,0.00921052
FANG,0.009081520000000001
PSA,0.008918150000000001
ODFL,0.00806725
AMGN,0.00797323
CHD,0.007463440000000001
AMP,0.00745563
NBIX,0.007161069999999999
HON,0.007074850000000001
WSM,0.0067131299999999994
CNC,0.00632985
SBAC,0.0060421599999999995
NTAP,0.00596188
PFGC,0.00593814
CDW,0.00469991
AZO,0.00438692
NXPI,0.00405955
TTEK,0.00295158
CTAS,0.00249021
KEYS,0.00233871
BIIB,0.00205976
CSL,0.0018476599999999999
ALB,0.0011901300000000002
IDXX,8.777580000000001e-4
NVR,6.94085e-4
CMG,4.17013e-4
BKNG,1.98667e-4
